date,Suspended Matter,Dissolved Oxygen Matter,Temperature,Chlorophyl,Turbidity,Salinity,Dissolved Oxygen,pH,Year,Month
24-04-2018,,0.64139732,,,,,,,2018,4
24-04-2018,,0.64139732,,,,,,,2018,4
24-04-2018,,0.64139732,,,,,,,2018,4
24-04-2018,,0.64139732,,,,,,,2018,4
24-04-2018,,0.64139732,,,,,,,2018,4
24-04-2018,,0.64139732,,,,,,,2018,4
24-04-2018,,0.64139732,,,,,,,2018,4
24-04-2018,,0.64139732,,,,,,,2018,4
25-04-2018,,0.61247572,41.20215232,,,,,,2018,4
25-04-2018,,0.61247572,41.20215232,,,,,,2018,4
25-04-2018,,0.61247572,41.20215232,,,,,,2018,4
25-04-2018,,0.61247572,41.20215232,,,,,,2018,4
25-04-2018,0.63660432,0.61247572,41.20215232,,,,,,2018,4
25-04-2018,,0.61247572,41.20215232,,,,,,2018,4
25-04-2018,,0.61247572,41.20215232,,,,,,2018,4
25-04-2018,,0.61247572,41.20215232,,,,,,2018,4
25-04-2018,,0.61247572,41.20215232,,,,,,2018,4
25-04-2018,,0.61247572,41.20215232,,,,,,2018,4
25-04-2018,,0.61247572,41.20215232,,,,,,2018,4
25-04-2018,,0.61247572,41.20215232,,,,,,2018,4
25-04-2018,,0.61247572,41.20215232,,,,,,2018,4
25-04-2018,,0.61247572,41.20215232,,,,,,2018,4
25-04-2018,,0.61247572,41.20215232,,,,,,2018,4
26-04-2018,,,,,,,,,2018,4
26-04-2018,,,,,,,,,2018,4
26-04-2018,,,,,,,,,2018,4
26-04-2018,,,,,,,,,2018,4
26-04-2018,,,,,,,,,2018,4
26-04-2018,,,,,,,,,2018,4
26-04-2018,,,,,,,,,2018,4
26-04-2018,,,,,,,,,2018,4
26-04-2018,,,,,,,,,2018,4
26-04-2018,,,,,,,,,2018,4
26-04-2018,,,,,,,,,2018,4
26-04-2018,,,,,,,,,2018,4
26-04-2018,,,,,,,,,2018,4
26-04-2018,,,,,,,,,2018,4
27-04-2018,,,,,,,,,2018,4
27-04-2018,,,,,,,,,2018,4
27-04-2018,,,,,,,,,2018,4
27-04-2018,,,,,,,,,2018,4
27-04-2018,,,,,,,,,2018,4
27-04-2018,,,,,,,,,2018,4
27-04-2018,,,,,,,,,2018,4
27-04-2018,,,,,,,,,2018,4
27-04-2018,,,,,,,,,2018,4
27-04-2018,,,,,,,,,2018,4
27-04-2018,,,,,,,,,2018,4
27-04-2018,,,,,,,,,2018,4
27-04-2018,,,,,,,,,2018,4
27-04-2018,,,,,,,,,2018,4
27-04-2018,,,,,,,,,2018,4
28-04-2018,,0.638825689,,,,,,,2018,4
28-04-2018,,0.638825689,,,,,,,2018,4
28-04-2018,,0.638825689,,,,,,,2018,4
28-04-2018,,0.638825689,,,,,,,2018,4
28-04-2018,0.655765416,0.638825689,,,,,,,2018,4
28-04-2018,,0.638825689,,,,,,,2018,4
28-04-2018,,0.638825689,,,,,,,2018,4
28-04-2018,,0.638825689,,,,,,,2018,4
28-04-2018,,0.638825689,,,,,,,2018,4
28-04-2018,,0.638825689,,,,,,,2018,4
28-04-2018,,0.638825689,,,,,,,2018,4
28-04-2018,,0.638825689,,,,,,,2018,4
28-04-2018,,0.638825689,,,,,,,2018,4
28-04-2018,,0.638825689,,,,,,,2018,4
28-04-2018,,0.638825689,,,,,,,2018,4
29-04-2018,,0.598141795,,,,,,,2018,4
29-04-2018,,0.598141795,,,,,,,2018,4
29-04-2018,,0.598141795,,,,,,,2018,4
29-04-2018,,0.598141795,,,,,,,2018,4
29-04-2018,0.631903422,0.598141795,,,,,,,2018,4
29-04-2018,,0.598141795,,,,,,,2018,4
29-04-2018,,0.598141795,,,,,,,2018,4
29-04-2018,,0.598141795,,,,,,,2018,4
29-04-2018,,0.598141795,,,,,,,2018,4
29-04-2018,,0.598141795,,,,,,,2018,4
29-04-2018,,0.598141795,,,,,,,2018,4
29-04-2018,,0.598141795,,,,,,,2018,4
29-04-2018,,0.598141795,,,,,,,2018,4
29-04-2018,,0.598141795,,,,,,,2018,4
29-04-2018,,0.598141795,,,,,,,2018,4
01-05-2018,,,,,,,,,2018,1
01-05-2018,,,,,,,,,2018,1
01-05-2018,,,,,,,,,2018,1
01-05-2018,,,,,,,,,2018,1
01-05-2018,,,,,,,,,2018,1
01-05-2018,,,,,,,,,2018,1
01-05-2018,,,,,,,,,2018,1
01-05-2018,,,,,,,,,2018,1
01-05-2018,,,,,,,,,2018,1
01-05-2018,,,,,,,,,2018,1
01-05-2018,,,,,,,,,2018,1
01-05-2018,,,,,,,,,2018,1
01-05-2018,,,,,,,,,2018,1
01-05-2018,,,,,,,,,2018,1
01-05-2018,,,,,,,,,2018,1
02-05-2018,,,,,,,,,2018,2
02-05-2018,,,,,,,,,2018,2
02-05-2018,,,,,,,,,2018,2
02-05-2018,,,,,,,,,2018,2
02-05-2018,0.678369942,,,,,,,,2018,2
02-05-2018,,,,,,,,,2018,2
02-05-2018,,,,,,,,,2018,2
02-05-2018,,,,,,,,,2018,2
02-05-2018,,,,,,,,,2018,2
02-05-2018,,,,,,,,,2018,2
02-05-2018,,,,,,,,,2018,2
02-05-2018,,,,,,,,,2018,2
02-05-2018,,,,,,,,,2018,2
02-05-2018,,,,,,,,,2018,2
02-05-2018,,,,,,,,,2018,2
03-05-2018,,0.544481431,,,,,,,2018,3
03-05-2018,,0.544481431,,,,,,,2018,3
03-05-2018,,0.544481431,,,,,,,2018,3
03-05-2018,,0.544481431,,,,,,,2018,3
03-05-2018,0.627959643,0.544481431,,,,,,,2018,3
03-05-2018,,0.544481431,,,,,,,2018,3
03-05-2018,,0.544481431,,,,,,,2018,3
03-05-2018,,0.544481431,,,,,,,2018,3
03-05-2018,,0.544481431,,,,,,,2018,3
03-05-2018,,0.544481431,,,,,,,2018,3
03-05-2018,,0.544481431,,,,,,,2018,3
03-05-2018,,0.544481431,,,,,,,2018,3
03-05-2018,,0.544481431,,,,,,,2018,3
03-05-2018,,0.544481431,,,,,,,2018,3
03-05-2018,,0.544481431,,,,,,,2018,3
04-05-2018,,0.671961657,43.87310077,,,,,,2018,4
04-05-2018,,0.671961657,43.87310077,,,,,,2018,4
04-05-2018,,0.671961657,43.87310077,,,,,,2018,4
04-05-2018,,0.671961657,43.87310077,,,,,,2018,4
04-05-2018,,0.671961657,43.87310077,,,,,,2018,4
04-05-2018,,0.671961657,43.87310077,,,,,,2018,4
04-05-2018,,0.671961657,43.87310077,,,,,,2018,4
04-05-2018,,0.671961657,43.87310077,,,,,,2018,4
04-05-2018,,0.671961657,43.87310077,,,,,,2018,4
04-05-2018,,0.671961657,43.87310077,,,,,,2018,4
04-05-2018,,0.671961657,43.87310077,,,,,,2018,4
04-05-2018,,0.671961657,43.87310077,,,,,,2018,4
04-05-2018,,0.671961657,43.87310077,,,,,,2018,4
04-05-2018,,0.671961657,43.87310077,,,,,,2018,4
05-05-2018,,,,,,,,,2018,5
05-05-2018,,,,,,,,,2018,5
05-05-2018,,,,,,,,,2018,5
05-05-2018,,,,,,,,,2018,5
05-05-2018,,,,,,,,,2018,5
05-05-2018,,,,,,,,,2018,5
05-05-2018,,,,,,,,,2018,5
05-05-2018,,,,,,,,,2018,5
05-05-2018,,,,,,,,,2018,5
05-05-2018,,,,,,,,,2018,5
05-05-2018,,,,,,,,,2018,5
05-05-2018,,,,,,,,,2018,5
05-05-2018,,,,,,,,,2018,5
05-05-2018,,,,,,,,,2018,5
05-05-2018,,,,,,,,,2018,5
06-05-2018,,,,,,,,,2018,6
06-05-2018,,,,,,,,,2018,6
06-05-2018,,,,,,,,,2018,6
06-05-2018,,,,,,,,,2018,6
06-05-2018,0.642262745,,,,,,,,2018,6
06-05-2018,,,,,,,,,2018,6
06-05-2018,,,,,,,,,2018,6
06-05-2018,,,,,,,,,2018,6
06-05-2018,,,,,,,,,2018,6
06-05-2018,,,,,,,,,2018,6
06-05-2018,,,,,,,,,2018,6
06-05-2018,,,,,,,,,2018,6
06-05-2018,,,,,,,,,2018,6
06-05-2018,,,,,,,,,2018,6
06-05-2018,,,,,,,,,2018,6
07-05-2018,,,,,,,,,2018,7
07-05-2018,,,,,,,,,2018,7
07-05-2018,,,,,,,,,2018,7
07-05-2018,,,,,,,,,2018,7
07-05-2018,0.633508805,,,,,,,,2018,7
07-05-2018,,,,,,,,,2018,7
07-05-2018,,,,,,,,,2018,7
07-05-2018,,,,,,,,,2018,7
07-05-2018,,,,,,,,,2018,7
07-05-2018,,,,,,,,,2018,7
07-05-2018,,,,,,,,,2018,7
07-05-2018,,,,,,,,,2018,7
07-05-2018,,,,,,,,,2018,7
07-05-2018,,,,,,,,,2018,7
07-05-2018,,,,,,,,,2018,7
08-05-2018,,,,,,,,,2018,8
08-05-2018,,,,,,,,,2018,8
08-05-2018,,,,,,,,,2018,8
08-05-2018,,,,,,,,,2018,8
08-05-2018,,,,,,,,,2018,8
08-05-2018,,,,,,,,,2018,8
08-05-2018,,,,,,,,,2018,8
08-05-2018,,,,,,,,,2018,8
08-05-2018,,,,,,,,,2018,8
08-05-2018,,,,,,,,,2018,8
08-05-2018,,,,,,,,,2018,8
08-05-2018,,,,,,,,,2018,8
08-05-2018,,,,,,,,,2018,8
08-05-2018,,,,,,,,,2018,8
08-05-2018,,,,,,,,,2018,8
09-05-2018,,0.542835596,,,,,,,2018,9
09-05-2018,,0.542835596,,,,,,,2018,9
09-05-2018,,0.542835596,,,,,,,2018,9
09-05-2018,,0.542835596,,,,,,,2018,9
09-05-2018,,0.542835596,,,,,,,2018,9
09-05-2018,,0.542835596,,,,,,,2018,9
09-05-2018,,0.542835596,,,,,,,2018,9
09-05-2018,,0.542835596,,,,,,,2018,9
09-05-2018,,0.542835596,,,,,,,2018,9
09-05-2018,,0.542835596,,,,,,,2018,9
09-05-2018,,0.542835596,,,,,,,2018,9
09-05-2018,,0.542835596,,,,,,,2018,9
09-05-2018,,0.542835596,,,,,,,2018,9
09-05-2018,,0.542835596,,,,,,,2018,9
10-05-2018,,,,,,,,,2018,10
10-05-2018,,,,,,,,,2018,10
10-05-2018,,,,,,,,,2018,10
10-05-2018,,,,,,,,,2018,10
10-05-2018,,,,,,,,,2018,10
10-05-2018,,,,,,,,,2018,10
10-05-2018,,,,,,,,,2018,10
10-05-2018,,,,,,,,,2018,10
10-05-2018,,,,,,,,,2018,10
10-05-2018,,,,,,,,,2018,10
10-05-2018,0.650500442,,,,,,,,2018,10
10-05-2018,,,,,,,,,2018,10
10-05-2018,,,,,,,,,2018,10
10-05-2018,,,,,,,,,2018,10
10-05-2018,,,,,,,,,2018,10
11-05-2018,,,44.09979622,,,,,,2018,11
11-05-2018,,,44.09979622,,,,,,2018,11
11-05-2018,,,44.09979622,,,,,,2018,11
11-05-2018,,,44.09979622,,,,,,2018,11
11-05-2018,,,44.09979622,,,,,,2018,11
11-05-2018,,,44.09979622,,,,,,2018,11
11-05-2018,,,44.09979622,,,,,,2018,11
11-05-2018,,,44.09979622,,,,,,2018,11
11-05-2018,,,44.09979622,,,,,,2018,11
11-05-2018,0.629067712,,44.09979622,,,,,,2018,11
11-05-2018,,,44.09979622,,,,,,2018,11
11-05-2018,,,44.09979622,,,,,,2018,11
11-05-2018,,,44.09979622,,,,,,2018,11
11-05-2018,,,44.09979622,,,,,,2018,11
